gnd,pctile,year,le_raceadj
F,70,2002,84.34
F,70,2003,85.68
F,70,2004,86.49
F,70,2005,86.18
F,70,2006,86.04
F,70,2007,84.85
F,70,2008,87.54
F,70,2009,87.62
F,70,2010,87.05
F,70,2011,87.79
F,70,2012,88.95
F,70,2013,88.18
F,70,2014,87.67
F,71,2001,85.53
F,71,2002,85.53
F,71,2003,86.78
F,71,2004,86.02
F,71,2005,87.40
F,71,2006,86.51
F,71,2007,86.19
F,71,2008,87.87
F,71,2009,88.04
F,71,2010,87.85
F,71,2011,87.78
F,71,2012,88.08
F,71,2013,89.03
F,71,2014,88.63
F,72,2001,84.23
F,72,2002,85.72
F,72,2003,84.84
F,72,2004,85.18
F,72,2005,85.77
F,72,2006,86.79
F,72,2007,85.94
F,72,2008,85.37
F,72,2009,87.80
F,72,2010,87.73
F,72,2011,86.47
F,72,2012,88.74
F,72,2013,88.32
F,72,2014,88.29
F,73,2001,85.43
F,73,2002,86.20
F,73,2003,85.08
F,73,2004,86.27
F,73,2005,86.05
F,73,2006,84.92
F,73,2007,87.65
F,73,2008,85.89
F,73,2009,88.10
F,73,2010,87.90
F,73,2011,88.28
F,73,2012,87.91
F,73,2013,87.42
F,73,2014,87.85
F,74,2001,85.09
F,74,2002,85.45
F,74,2003,84.37
F,74,2004,86.52
F,74,2005,87.09
F,74,2006,86.71
F,74,2007,87.09
F,74,2008,87.13
F,74,2009,88.89
F,74,2010,86.92
F,74,2011,87.80
F,74,2012,88.54
F,74,2013,88.74
F,74,2014,87.55
F,75,2001,86.39
F,75,2002,84.65
F,75,2003,86.41
F,75,2004,82.62
F,75,2005,86.26
F,75,2006,86.11
F,75,2007,87.83
F,75,2008,87.40
F,75,2009,87.60
F,75,2010,88.13
F,75,2011,87.58
F,75,2012,88.15
F,75,2013,88.09
F,75,2014,89.19
F,76,2001,85.60
F,76,2002,86.52
F,76,2003,85.53
F,76,2004,86.07
F,76,2005,86.49
F,76,2006,87.48
F,76,2007,86.27
F,76,2008,88.14
F,76,2009,87.74
F,76,2010,87.97
F,76,2011,86.57
F,76,2012,87.95
F,76,2013,88.62
F,76,2014,88.01
F,77,2001,84.43
F,77,2002,86.19
F,77,2003,86.27
F,77,2004,86.80
F,77,2005,86.85
F,77,2006,87.03
F,77,2007,87.40
F,77,2008,86.99
F,77,2009,87.76
F,77,2010,87.59
F,77,2011,87.60
F,77,2012,87.47
F,77,2013,88.92
F,77,2014,88.45
F,78,2001,85.64
F,78,2002,84.78
F,78,2003,84.76
F,78,2004,85.79
F,78,2005,86.32
F,78,2006,86.69
F,78,2007,88.12
F,78,2008,88.23
F,78,2009,88.27
F,78,2010,87.45
F,78,2011,88.19
F,78,2012,88.62
F,78,2013,88.92
F,78,2014,88.25
F,79,2001,86.88
F,79,2002,85.91
F,79,2003,87.15
F,79,2004,86.44
F,79,2005,85.82
F,79,2006,87.67
F,79,2007,86.83
F,79,2008,87.84
F,79,2009,88.62
F,79,2010,88.19
F,79,2011,87.65
F,79,2012,87.88
F,79,2013,89.77
F,79,2014,88.79
F,80,2001,84.24
F,80,2002,86.19
F,80,2003,86.88
F,80,2004,86.95
F,80,2005,86.43
F,80,2006,86.25
F,80,2007,87.78
F,80,2008,87.57
F,80,2009,88.41
F,80,2010,87.43
F,80,2011,88.33
F,80,2012,89.55
F,80,2013,88.99
F,80,2014,87.01
F,81,2001,86.21
F,81,2002,86.32
F,81,2003,86.65
F,81,2004,86.29
F,81,2005,86.74
F,81,2006,86.55
F,81,2007,87.17
F,81,2008,88.20
F,81,2009,88.52
F,81,2010,88.40
F,81,2011,88.68
F,81,2012,88.22
F,81,2013,88.83
